Date,Order_ID,Customer_ID,Region,iPhone_Model,Units_Sold,Unit_Price,Discount,Revenue,Profit_Margin,Profit
2024-11-23,ORD100000,CUST2824,North America,iPhone 15 Pro Max,3,1199,0.05,3417.1499999999996,0.35,1196.0024999999998
2024-04-24,ORD100001,CUST3286,North America,iPhone 15 Pro Max,5,1199,0.0,5995.0,0.35,2098.25
2024-10-29,ORD100002,CUST7912,North America,iPhone 13,1,699,0.05,664.05,0.2,132.81
2024-04-29,ORD100003,CUST9279,Others,iPhone 13,5,699,0.05,3320.25,0.2,664.0500000000001
2024-11-28,ORD100004,CUST9928,Middle East,iPhone 14,4,799,0.2,2556.8,0.22,562.4960000000001
2024-05-22,ORD100005,CUST1106,Europe,iPhone 15 Pro Max,4,1199,0.1,4316.400000000001,0.35,1510.74
2024-05-22,ORD100006,CUST3547,Europe,iPhone 14 Pro,1,999,0.0,999.0,0.28,279.72
2024-07-13,ORD100007,CUST2584,Asia,iPhone 14 Pro,5,999,0.1,4495.5,0.28,1258.74
2024-01-23,ORD100008,CUST8527,Others,iPhone 13,4,699,0.0,2796.0,0.2,559.2
2024-10-09,ORD100009,CUST5803,Others,iPhone 14 Pro,5,999,0.05,4745.25,0.28,1328.67
2024-12-26,ORD100010,CUST2139,North America,iPhone 15 Pro Max,2,1199,0.1,2158.2000000000003,0.35,755.37
2024-02-10,ORD100011,CUST4814,North America,iPhone 14 Pro Max,3,1099,0.15,2802.45,0.3,840.7349999999999
2024-11-21,ORD100012,CUST6977,Europe,iPhone 14 Pro,3,999,0.05,2847.15,0.28,797.2020000000001
2024-12-09,ORD100013,CUST5374,North America,iPhone 15,2,899,0.2,1438.4,0.25,359.6
2024-05-05,ORD100014,CUST3677,Middle East,iPhone 14 Pro Max,3,1099,0.2,2637.6000000000004,0.3,791.2800000000001
2024-04-22,ORD100015,CUST6313,North America,iPhone 14,1,799,0.1,719.1,0.22,158.202
2024-07-24,ORD100016,CUST5386,North America,iPhone 14,5,799,0.1,3595.5,0.22,791.01
2024-04-18,ORD100017,CUST9179,Middle East,iPhone 15 Pro Max,4,1199,0.05,4556.2,0.35,1594.6699999999998
2024-05-15,ORD100018,CUST3287,Europe,iPhone 15 Pro Max,5,1199,0.2,4796.0,0.35,1678.6
2024-05-14,ORD100019,CUST8019,Others,iPhone 14 Pro Max,3,1099,0.05,3132.1499999999996,0.3,939.6449999999999
2024-03-11,ORD100020,CUST9348,Middle East,iPhone 13,1,699,0.0,699.0,0.2,139.8
2024-03-19,ORD100021,CUST3621,Middle East,iPhone 15,1,899,0.15,764.15,0.25,191.0375
2024-07-14,ORD100022,CUST8668,Others,iPhone 14 Pro,5,999,0.0,4995.0,0.28,1398.6000000000001
2024-12-14,ORD100023,CUST2876,Others,iPhone 14 Pro,3,999,0.0,2997.0,0.28,839.1600000000001
2024-05-30,ORD100024,CUST8123,Europe,iPhone 14 Pro Max,1,1099,0.1,989.1,0.3,296.73
2024-09-13,ORD100025,CUST3927,Others,iPhone 13,3,699,0.2,1677.6000000000001,0.2,335.52000000000004
2024-11-07,ORD100026,CUST4258,Europe,iPhone 14 Pro,2,999,0.2,1598.4,0.28,447.5520000000001
2024-09-28,ORD100027,CUST1009,Others,iPhone 14 Pro,4,999,0.0,3996.0,0.28,1118.88
2024-02-27,ORD100028,CUST6947,Asia,iPhone 14,1,799,0.05,759.05,0.22,166.99099999999999
2024-10-17,ORD100029,CUST2290,North America,iPhone 15 Pro Max,4,1199,0.0,4796.0,0.35,1678.6
2024-09-29,ORD100030,CUST3060,Europe,iPhone 15 Pro Max,4,1199,0.2,3836.8,0.35,1342.8799999999999
2024-03-25,ORD100031,CUST5342,Others,iPhone 15,4,899,0.05,3416.2,0.25,854.05
2024-10-03,ORD100032,CUST4295,Asia,iPhone 14 Pro Max,3,1099,0.15,2802.45,0.3,840.7349999999999
2024-09-21,ORD100033,CUST8397,North America,iPhone 14,2,799,0.0,1598.0,0.22,351.56
2024-06-22,ORD100034,CUST1344,Others,iPhone 15,2,899,0.2,1438.4,0.25,359.6
2024-04-22,ORD100035,CUST1117,North America,iPhone 15 Pro Max,1,1199,0.05,1139.05,0.35,398.66749999999996
2024-02-04,ORD100036,CUST1514,Asia,iPhone 13,5,699,0.05,3320.25,0.2,664.0500000000001
2024-05-22,ORD100037,CUST8953,Europe,iPhone 15,2,899,0.2,1438.4,0.25,359.6
2024-10-22,ORD100038,CUST8744,Europe,iPhone 14 Pro Max,4,1099,0.05,4176.2,0.3,1252.86
2024-02-18,ORD100039,CUST2588,Middle East,iPhone 14 Pro,4,999,0.15,3396.6,0.28,951.0480000000001
2024-08-27,ORD100040,CUST1887,North America,iPhone 13,4,699,0.1,2516.4,0.2,503.28000000000003
2024-02-25,ORD100041,CUST5073,Europe,iPhone 14,5,799,0.15,3395.75,0.22,747.065
2024-03-12,ORD100042,CUST7912,Europe,iPhone 14 Pro,4,999,0.05,3796.2,0.28,1062.9360000000001
2024-02-08,ORD100043,CUST8260,Others,iPhone 13,1,699,0.2,559.2,0.2,111.84000000000002
2024-01-08,ORD100044,CUST2528,Europe,iPhone 14,4,799,0.15,2716.6,0.22,597.6519999999999
2024-09-03,ORD100045,CUST4502,Middle East,iPhone 13,2,699,0.15,1188.3,0.2,237.66
2024-01-02,ORD100046,CUST7396,Asia,iPhone 14 Pro Max,3,1099,0.15,2802.45,0.3,840.7349999999999
2024-12-22,ORD100047,CUST8973,Europe,iPhone 14,3,799,0.05,2277.15,0.22,500.973
2024-01-30,ORD100048,CUST9883,North America,iPhone 15 Pro Max,3,1199,0.0,3597.0,0.35,1258.9499999999998
2024-01-26,ORD100049,CUST8811,Others,iPhone 15,2,899,0.0,1798.0,0.25,449.5
2024-09-17,ORD100050,CUST2312,Europe,iPhone 13,5,699,0.0,3495.0,0.2,699.0
2024-12-11,ORD100051,CUST4853,Middle East,iPhone 13,5,699,0.05,3320.25,0.2,664.0500000000001
2024-10-23,ORD100052,CUST1651,Others,iPhone 13,4,699,0.2,2236.8,0.2,447.36000000000007
2024-10-16,ORD100053,CUST9565,Asia,iPhone 14 Pro,2,999,0.1,1798.2,0.28,503.49600000000004
2024-05-02,ORD100054,CUST5351,Middle East,iPhone 14,3,799,0.15,2037.45,0.22,448.23900000000003
2024-06-10,ORD100055,CUST2188,North America,iPhone 14 Pro Max,5,1099,0.2,4396.0,0.3,1318.8
2024-02-21,ORD100056,CUST2200,Others,iPhone 14,5,799,0.1,3595.5,0.22,791.01
2024-03-08,ORD100057,CUST6718,North America,iPhone 14,3,799,0.1,2157.3,0.22,474.60600000000005
2024-03-21,ORD100058,CUST8179,Others,iPhone 15 Pro Max,3,1199,0.2,2877.6000000000004,0.35,1007.1600000000001
2024-11-30,ORD100059,CUST9666,North America,iPhone 15 Pro Max,5,1199,0.1,5395.5,0.35,1888.425
2024-12-05,ORD100060,CUST2697,Europe,iPhone 14 Pro,1,999,0.0,999.0,0.28,279.72
2024-10-10,ORD100061,CUST3546,Asia,iPhone 14 Pro,5,999,0.05,4745.25,0.28,1328.67
2024-06-24,ORD100062,CUST4335,Asia,iPhone 15,4,899,0.1,3236.4,0.25,809.1
2024-01-27,ORD100063,CUST2512,Middle East,iPhone 14 Pro,1,999,0.0,999.0,0.28,279.72
2024-06-19,ORD100064,CUST3143,Asia,iPhone 14,4,799,0.2,2556.8,0.22,562.4960000000001
2024-12-27,ORD100065,CUST8007,Others,iPhone 13,1,699,0.0,699.0,0.2,139.8
2024-12-19,ORD100066,CUST3442,Others,iPhone 13,3,699,0.2,1677.6000000000001,0.2,335.52000000000004
2024-10-09,ORD100067,CUST3426,Middle East,iPhone 14,1,799,0.1,719.1,0.22,158.202
2024-07-05,ORD100068,CUST1653,Asia,iPhone 14,2,799,0.0,1598.0,0.22,351.56
2024-06-30,ORD100069,CUST7658,Others,iPhone 15 Pro Max,2,1199,0.05,2278.1,0.35,797.3349999999999
2024-03-24,ORD100070,CUST3900,Middle East,iPhone 13,2,699,0.1,1258.2,0.2,251.64000000000001
2024-07-29,ORD100071,CUST5065,Asia,iPhone 14,1,799,0.15,679.15,0.22,149.41299999999998
2024-01-20,ORD100072,CUST8711,Europe,iPhone 14,4,799,0.1,2876.4,0.22,632.808
2024-06-05,ORD100073,CUST4728,Europe,iPhone 13,2,699,0.15,1188.3,0.2,237.66
2024-06-17,ORD100074,CUST5564,North America,iPhone 14 Pro,3,999,0.2,2397.6,0.28,671.3280000000001
2024-07-23,ORD100075,CUST9785,Asia,iPhone 13,1,699,0.1,629.1,0.2,125.82000000000001
2024-04-01,ORD100076,CUST5349,North America,iPhone 13,5,699,0.15,2970.75,0.2,594.15
2024-06-25,ORD100077,CUST6139,Middle East,iPhone 15,5,899,0.0,4495.0,0.25,1123.75
2024-07-16,ORD100078,CUST4114,Asia,iPhone 13,4,699,0.0,2796.0,0.2,559.2
2024-09-23,ORD100079,CUST9821,Europe,iPhone 14 Pro,4,999,0.0,3996.0,0.28,1118.88
2024-12-06,ORD100080,CUST6409,Others,iPhone 14 Pro,1,999,0.1,899.1,0.28,251.74800000000002
2024-09-16,ORD100081,CUST6067,Middle East,iPhone 14 Pro,4,999,0.1,3596.4,0.28,1006.9920000000001
2024-10-10,ORD100082,CUST3085,Europe,iPhone 14 Pro Max,4,1099,0.05,4176.2,0.3,1252.86
2024-11-11,ORD100083,CUST5930,Middle East,iPhone 15,1,899,0.1,809.1,0.25,202.275
2024-05-26,ORD100084,CUST4443,Middle East,iPhone 15,5,899,0.1,4045.5,0.25,1011.375
2024-08-26,ORD100085,CUST8238,Middle East,iPhone 15 Pro Max,2,1199,0.2,1918.4,0.35,671.4399999999999
2024-08-30,ORD100086,CUST3780,North America,iPhone 14 Pro,5,999,0.2,3996.0,0.28,1118.88
